pair,wall_ms,superpoint_ms,matcher_ms,geometry_ms,degenerate
453,147.816,102.902,39.945,4.833,0
454,142.165,88.898,48.399,4.777,0
455,134.499,88.456,40.907,5.001,0
456,146.803,97.199,43.07,6.405,0
457,124.258,78.63,40.825,4.714,0
458,128.083,80.762,42.549,4.676,0
459,132.025,84.178,43.068,4.66,0
460,117.373,83.753,30.815,2.721,0
461,129.904,82.453,44.9,2.489,0
462,112.912,90.611,19.469,2.758,0
463,108.804,87.67,17.9,3.18,0
464,154.042,120.095,31.16,2.706,0
465,174.24,118.254,50.752,5.175,0
466,135.301,84.855,47.856,2.53,0
467,125.467,89.163,30.37,5.874,0
468,141.474,96.599,39.918,4.859,0
469,127.639,95.094,29.377,3.097,0
470,134.361,84.242,47.414,2.649,0
471,111.085,87.053,21.057,2.886,0
472,117.871,93.182,20.476,4.068,0
473,102.303,82.539,16.939,2.729,0
474,159.761,113.256,41.439,4.952,0
475,189.485,118.934,65.552,4.854,0
476,120.616,100.61,17.023,2.894,0
477,102.991,82.884,17.301,2.734,0
478,138.54,90.072,43.511,4.844,0
479,118.774,96.54,19.264,2.898,0
480,134.301,97.059,33.813,3.364,0
481,113.941,77.343,33.73,2.761,0
482,155.925,101.055,50.605,4.169,0
483,124.836,102.616,19.199,2.919,0
484,164.096,105.433,53.384,5.125,0
485,175.423,110.933,55.072,9.308,0
486,127.082,101.884,21.924,3.171,0
487,164.236,107.091,51.894,5.067,0
488,140.635,107.616,30.209,2.74,0
489,138.424,100.632,34.468,3.225,0
490,119.111,92.901,22.88,3.256,0
491,102.134,80.898,18.343,2.826,0
492,165.259,115.745,44.397,5.013,0
493,134.523,102.63,28.485,3.32,0
494,179.713,116.109,58.448,5.044,0
495,172.369,109.758,57.374,5.122,0
496,154.23,97.697,51.266,5.108,0
497,151.288,97.078,49.254,4.806,0
498,151.726,102.247,44.623,4.716,0
499,168.811,116.682,46.928,5.061,0
