pair,wall_ms,superpoint_ms,matcher_ms,geometry_ms,degenerate
342,92.938,76.235,13.837,2.807,0
343,92.836,78.47,11.512,2.777,0
344,87.17,73.591,10.743,2.765,0
345,85.697,71.127,11.818,2.688,0
346,88.89,76.508,9.731,2.614,0
347,126.375,95.048,26.68,4.561,0
348,125.087,97.841,22.068,5.053,0
349,129.501,94.615,32.15,2.676,0
350,117.765,84.712,28.381,4.58,0
351,139.248,105.38,28.863,4.883,0
352,127.663,105.473,19.182,2.923,0
353,102.771,87.894,12.12,2.701,0
354,145.744,107.309,33.677,4.688,0
355,117.818,90.325,24.708,2.725,0
356,112.053,88.669,20.71,2.612,0
357,125.046,99.469,22.233,3.284,0
358,120.766,84.284,33.345,3.089,0
359,123.799,93.55,25.665,4.508,0
360,125.216,102.189,19.706,3.266,0
361,116.982,81.39,32.829,2.702,0
362,100.981,85.089,12.966,2.865,0
363,120.113,93.989,22.755,3.274,0
364,100.652,85.54,12.079,2.891,0
365,112.579,97.276,12.355,2.87,0
366,95.218,77.847,14.317,2.958,0
367,136.033,99.586,31.699,4.647,0
368,99.022,82.743,13.449,2.719,0
369,131.603,97.104,29.528,4.872,0
370,159.872,123.606,30.991,5.068,0
371,147.729,102.276,40.475,4.831,0
372,152.757,120.231,27.618,4.817,0
373,148.334,118.003,25.259,4.922,0
374,155.039,118.776,31.125,5.009,0
375,148.621,106.223,37.313,4.938,0
376,149.733,105.3,38.825,5.413,0
377,134.055,102.814,26.258,4.871,0
378,118.767,101.222,14.202,3.217,0
379,103.288,88.851,11.703,2.626,0
380,121.375,95.306,21.992,3.968,0
381,95.58,78.482,14.211,2.793,0
382,121.084,97.38,20.254,3.363,0
383,115.898,80.954,32.3,2.575,0
384,100.474,86.768,10.937,2.717,0
385,111.517,96.26,12.064,3.131,0
386,97.633,82.424,12.459,2.616,0
387,107.465,94.446,10.284,2.677,0
388,95.608,79.456,13.359,2.738,0
389,93.869,79.79,11.404,2.618,0
390,116.488,90.486,20.993,4.921,0
391,134.469,115.69,14.741,3.894,0
392,100.568,85.107,12.722,2.654,0
393,123.681,101.236,19.027,3.319,0
394,138.07,102.164,33.068,2.702,0
395,101.895,85.765,13.257,2.788,0
396,118.049,102.428,12.52,3.033,0
397,108.506,87.779,17.564,3.064,0
398,131.194,102.207,24.995,3.87,0
399,114.661,84.315,27.441,2.826,0
400,125.69,104.179,18.013,3.417,0
401,116.727,79.514,34.558,2.598,0
402,107.392,91.297,13.217,2.822,0
403,112.001,94.719,14.158,3.039,0
404,106.081,90.231,12.96,2.79,0
405,128.896,105.184,20.07,3.505,0
406,97.952,83.783,11.499,2.569,0
407,129.595,106.69,19.644,3.186,0
408,123.432,86.588,34.043,2.724,0
409,113.918,98.058,12.532,3.27,0
410,122.266,94.59,24.851,2.761,0
411,88.234,73.386,12.095,2.69,0
412,89.911,76.059,10.955,2.831,0
413,87.871,74.365,10.718,2.703,0
414,83.141,69.553,10.498,3.015,0
415,88.712,75.314,10.536,2.787,0
416,91.923,76.883,12.087,2.852,0
417,85.26,71.484,11.01,2.71,0
418,86.528,73.963,9.815,2.689,0
419,84.913,72.799,9.407,2.644,0
420,86.784,72.228,11.784,2.709,0
421,87.809,75.576,9.517,2.648,0
422,84.396,71.0,10.77,2.571,0
423,86.477,74.245,9.581,2.608,0
424,82.106,71.072,8.416,2.573,0
425,129.82,95.24,32.061,2.471,0
426,93.023,79.552,10.852,2.571,0
427,146.123,119.519,21.61,4.896,0
428,132.598,101.525,26.154,4.761,0
429,131.544,88.711,38.438,4.323,0
430,124.632,83.283,35.623,5.638,0
431,104.276,88.432,12.189,3.593,0
432,113.053,90.81,18.561,3.589,0
433,129.885,91.73,35.511,2.57,0
434,101.757,86.253,12.31,3.133,0
435,107.838,80.525,24.592,2.664,0
436,119.465,90.179,24.725,4.467,0
437,116.462,92.336,20.046,3.928,0
438,103.346,78.204,22.521,2.567,0
439,117.282,100.232,13.841,3.153,0
440,113.889,79.232,31.919,2.696,0
441,101.763,87.42,11.451,2.821,0
442,111.609,96.269,12.017,3.247,0
443,101.589,84.071,14.587,2.854,0
444,115.024,94.163,16.877,3.876,0
445,99.875,82.565,14.54,2.685,0
446,123.333,98.604,21.566,3.104,0
447,122.137,85.125,34.15,2.804,0
448,113.127,86.091,22.075,4.861,0
449,119.394,100.981,13.905,4.405,0
450,98.167,81.976,13.505,2.6,0
451,126.065,101.761,20.443,3.717,0
452,97.454,81.605,13.024,2.747,0
453,130.211,107.347,19.423,3.36,0
454,119.543,84.638,32.147,2.68,0
455,96.572,82.567,11.32,2.626,0
456,92.44,77.967,11.752,2.653,0
457,92.062,78.643,10.618,2.729,0
458,92.069,79.055,10.134,2.821,0
459,93.838,77.626,13.364,2.773,0
460,84.674,72.359,9.69,2.566,0
461,86.781,73.995,9.97,2.758,0
462,87.464,74.534,10.285,2.59,0
463,87.96,75.926,9.318,2.667,0
464,86.707,72.027,11.618,2.993,0
465,89.483,75.725,11.191,2.49,0
466,111.161,90.443,17.416,3.237,0
467,102.414,77.449,22.222,2.646,0
468,110.694,93.982,13.417,3.243,0
469,116.45,83.28,30.539,2.582,0
470,106.708,90.658,13.286,2.702,0
471,112.767,94.404,15.111,3.177,0
472,98.033,83.169,11.953,2.762,0
473,123.748,99.501,20.982,3.183,0
474,116.773,80.898,33.109,2.715,0
475,101.41,86.661,12.027,2.672,0
