pair,wall_ms,superpoint_ms,matcher_ms,geometry_ms,degenerate
361,93.836,81.497,9.469,2.812,0
362,148.889,119.391,24.528,4.783,0
363,130.016,105.597,21.456,2.89,0
364,100.656,84.204,13.54,2.856,0
365,144.555,111.612,25.457,7.382,0
366,129.053,112.122,14.051,2.815,0
367,85.754,74.365,8.609,2.702,0
368,86.043,76.101,7.168,2.716,0
369,84.555,72.391,9.126,2.951,0
370,113.784,79.666,25.283,8.754,0
371,115.477,91.731,21.069,2.624,0
372,109.494,89.445,17.286,2.697,0
373,116.064,99.357,13.358,3.268,0
374,101.893,79.666,19.394,2.657,0
375,114.717,101.254,10.048,3.347,0
376,118.975,80.879,35.213,2.817,0
377,109.555,98.194,8.466,2.824,0
378,142.655,114.26,23.389,4.878,0
379,114.73,83.66,28.098,2.911,0
380,132.666,102.078,25.338,5.137,0
381,145.922,117.087,23.621,5.094,0
382,147.219,114.314,27.91,4.865,0
383,142.573,103.435,34.028,4.911,0
384,111.57,98.03,10.112,3.341,0
385,118.18,86.367,28.992,2.758,0
386,138.201,110.133,22.826,5.107,0
387,142.893,114.614,23.06,5.119,0
388,130.015,107.238,19.905,2.775,0
389,89.491,78.318,8.244,2.836,0
390,119.277,95.576,18.944,4.664,0
391,110.965,82.507,23.376,4.95,0
392,146.608,104.266,39.548,2.651,0
393,93.99,82.09,8.966,2.866,0
394,112.555,93.668,15.821,2.976,0
395,118.365,92.455,21.146,4.665,0
396,119.536,102.164,14.015,3.291,0
397,127.694,92.087,32.793,2.736,0
398,132.317,104.299,22.68,5.185,0
399,138.731,111.751,21.933,4.941,0
400,119.497,96.429,20.171,2.827,0
401,102.958,86.991,13.053,2.82,0
402,123.858,103.52,16.781,3.466,0
403,99.403,86.814,9.566,2.863,0
404,123.485,103.781,16.2,3.38,0
405,129.93,89.846,37.151,2.863,0
406,125.58,99.205,21.459,4.796,0
407,144.599,115.852,23.571,5.032,0
408,140.14,100.588,34.511,4.933,0
409,133.467,96.754,31.662,4.922,0
410,110.31,97.769,9.565,2.898,0
411,86.486,74.456,9.076,2.846,0
412,119.498,94.701,19.964,4.75,0
413,90.135,77.637,9.546,2.872,0
414,86.886,74.643,9.34,2.842,0
415,82.546,71.037,8.746,2.709,0
416,81.951,72.223,7.014,2.66,0
417,77.657,67.473,7.466,2.638,0
418,81.39,69.457,9.19,2.681,0
419,81.598,71.13,7.774,2.649,0
420,75.421,65.759,6.997,2.626,0
421,75.72,65.531,7.494,2.644,0
422,76.296,66.518,7.15,2.586,0
423,99.433,76.899,17.289,5.196,0
424,107.866,95.002,8.92,3.789,0
425,116.021,78.001,33.416,4.526,0
426,114.707,93.564,16.418,4.654,0
427,121.1,98.749,17.696,4.556,0
428,104.789,71.608,30.524,2.602,0
429,110.508,87.406,18.266,4.756,0
430,100.13,88.804,8.121,3.134,0
431,103.224,72.953,27.278,2.9,0
432,96.494,84.213,9.123,3.108,0
433,105.536,73.614,29.368,2.511,0
434,87.524,75.125,9.653,2.702,0
435,99.833,87.203,9.557,2.998,0
436,90.654,76.398,11.455,2.649,0
437,117.988,100.067,14.327,3.507,0
438,109.187,77.796,28.646,2.691,0
439,98.764,88.83,7.08,2.799,0
440,106.207,91.464,11.602,3.048,0
441,160.881,121.5,36.65,2.667,0
442,156.552,120.247,33.42,2.813,0
443,105.076,92.013,9.245,3.744,0
444,146.829,112.762,28.771,5.166,0
445,162.825,113.047,44.549,5.084,0
446,128.811,102.366,21.454,4.889,0
447,141.945,109.068,27.669,5.036,0
448,130.539,99.112,28.607,2.759,0
449,97.949,79.831,15.178,2.851,0
450,119.335,100.127,16.2,2.923,0
451,128.812,114.588,11.106,3.034,0
452,122.798,102.062,17.409,3.24,0
453,99.844,82.585,14.209,2.941,0
454,111.006,96.161,11.53,3.216,0
455,101.956,86.011,12.956,2.864,0
456,119.298,99.202,16.568,3.421,0
457,135.101,93.116,38.708,3.18,0
458,96.812,85.072,8.707,2.949,0
459,153.048,119.9,27.936,5.022,0
460,152.036,112.347,34.34,5.19,0
461,123.829,97.815,21.255,4.666,0
462,115.135,91.275,19.017,4.732,0
463,80.522,71.034,6.745,2.662,0
464,110.295,85.059,20.534,4.609,0
465,109.228,93.557,12.778,2.831,0
466,128.026,100.156,22.928,4.852,0
467,135.589,92.75,37.703,4.979,0
468,100.948,86.105,11.908,2.842,0
469,107.591,93.15,10.9,3.435,0
470,127.412,91.849,32.857,2.645,0
471,116.906,92.594,19.485,4.753,0
472,112.026,98.644,10.046,3.261,0
473,115.623,89.576,21.286,4.662,0
474,123.936,100.298,18.997,4.502,0
475,148.074,109.024,34.882,4.053,0
476,114.412,100.332,11.191,2.781,0
477,123.499,102.49,17.37,3.527,0
478,154.206,110.674,35.217,5.16,0
479,162.393,113.265,42.66,6.293,0
480,133.177,105.225,23.098,4.735,0
481,149.035,117.27,26.759,4.859,0
482,143.99,108.61,30.406,4.852,0
483,106.38,81.367,20.002,4.867,0
484,109.876,86.291,18.394,5.036,0
485,109.36,88.266,16.226,4.783,0
486,109.915,85.37,19.598,4.859,0
487,105.641,83.667,17.086,4.78,0
488,106.209,91.937,11.37,2.769,0
489,117.855,99.2,15.335,3.23,0
490,120.245,87.047,30.451,2.686,0
491,102.754,89.723,10.337,2.634,0
492,116.739,95.741,15.576,5.319,0
493,90.703,79.254,8.75,2.624,0
494,123.467,96.828,21.621,4.914,0
495,111.354,85.838,22.691,2.77,0
496,109.173,83.142,21.399,4.555,0
497,115.746,97.697,13.925,4.012,0
498,129.056,87.22,38.658,3.105,0
499,94.164,82.906,8.279,2.911,0
