pair,wall_ms,superpoint_ms,mambaglue_ms,geometry_ms,degenerate
391,415.039,239.59,78.516,96.851,0
392,424.329,202.975,78.691,142.58,0
393,457.536,203.749,78.896,174.803,0
394,407.091,202.626,81.112,123.268,0
395,403.195,202.563,78.519,122.022,0
396,427.633,200.145,79.38,148.026,0
397,409.456,202.746,78.894,127.715,0
398,480.531,238.7,78.663,163.084,0
399,406.184,201.018,79.032,126.052,0
400,424.426,203.564,78.566,142.214,0
401,496.909,239.164,78.647,179.015,0
402,462.152,202.116,78.822,181.125,0
403,468.417,199.435,79.193,189.701,0
404,464.685,202.951,79.7,181.938,0
405,538.335,202.724,79.605,255.912,0
406,487.727,201.597,79.327,206.717,0
407,385.009,200.251,79.235,105.439,0
408,407.508,202.178,79.541,125.695,0
409,383.413,201.299,78.387,103.637,0
410,466.813,239.646,79.986,147.078,0
411,452.757,199.138,79.131,174.393,0
412,459.35,199.706,79.459,180.101,0
413,441.741,198.654,78.839,164.163,0
414,410.438,198.659,79.438,132.257,0
415,420.802,197.788,79.999,142.933,0
416,530.231,198.427,79.259,252.459,0
417,413.898,197.341,79.14,137.332,0
418,497.538,197.992,80.339,219.113,0
419,435.789,197.213,80.118,158.371,0
420,473.808,198.613,78.994,196.118,0
421,488.625,237.581,78.539,172.417,0
422,491.418,201.695,82.173,207.457,0
423,490.68,235.272,78.953,176.371,0
424,608.224,201.008,80.344,326.773,0
425,527.346,201.075,79.051,247.137,0
426,443.133,200.912,77.854,164.286,0
427,598.117,235.206,78.584,284.244,0
428,495.718,200.614,78.563,216.456,0
429,499.012,198.126,78.652,222.149,0
430,447.864,199.72,78.299,169.761,0
431,558.148,236.208,78.327,243.53,0
432,521.457,197.965,78.353,245.048,0
433,459.236,198.497,78.354,182.268,0
434,491.486,200.107,79.172,212.124,0
435,506.765,236.21,78.04,192.424,0
436,532.664,195.557,80.014,257.012,0
437,476.948,196.179,79.031,201.653,0
438,418.41,197.677,79.369,141.282,0
439,577.719,198.851,78.675,300.11,0
440,561.397,199.945,78.307,283.052,0
441,534.9,237.354,78.924,218.537,0
442,491.975,197.558,79.022,215.313,0
443,457.887,201.047,78.675,178.084,0
444,507.532,202.082,78.547,226.818,0
445,480.099,200.897,78.651,200.456,0
446,438.296,199.458,79.147,159.595,0
447,427.286,235.599,79.323,112.282,0
448,449.006,198.075,79.548,171.299,0
449,366.39,198.068,78.757,89.475,0
450,358.657,197.788,79.263,81.523,0
451,442.747,233.565,78.704,130.385,0
452,366.429,197.5,79.122,89.721,0
453,340.478,197.121,79.313,63.962,0
454,348.874,196.546,79.057,73.182,0
455,346.632,196.658,79.356,70.534,0
456,355.297,196.599,79.015,79.588,0
457,365.686,197.107,78.794,89.7,0
458,388.81,196.284,80.167,112.272,0
459,345.85,196.539,80.105,69.121,0
460,398.892,234.093,79.562,85.145,0
461,368.777,199.356,78.755,90.588,0
462,340.233,199.462,78.365,62.324,0
463,390.766,233.768,78.909,78.006,0
464,344.119,200.789,78.139,65.11,0
465,363.392,197.763,77.866,87.678,0
466,360.024,199.323,78.261,82.348,0
467,368.829,196.97,77.819,93.96,0
468,375.764,196.92,77.829,100.925,0
469,376.833,200.247,78.634,97.862,0
470,382.448,197.723,78.955,105.68,0
471,358.923,196.578,78.364,83.888,0
472,345.25,201.076,78.117,65.977,0
473,354.017,200.386,78.128,75.417,0
474,389.604,199.933,77.68,111.903,0
475,350.753,196.834,77.971,75.856,0
476,359.739,200.857,77.874,80.926,0
477,380.213,200.16,77.904,102.068,0
478,380.328,201.663,77.751,100.832,0
479,354.429,201.199,77.75,75.391,0
480,434.158,199.72,78.847,155.505,0
481,452.763,200.349,77.708,174.622,0
482,388.692,199.742,78.131,110.738,0
483,513.245,195.634,78.402,239.126,0
484,475.91,194.929,78.574,202.32,0
485,393.844,193.988,79.09,120.675,0
486,487.577,195.731,79.149,212.615,0
487,466.148,194.571,78.922,192.569,0
488,448.597,193.228,78.745,176.536,0
489,430.168,193.457,78.516,158.105,0
